Member,KMeans,GMM,Agglomerative,Hierarchical,RFM,Spark KMeans,RFM_Score,RFM_Segment,KMeans_Percent,GMM_Percent,Agglomerative_Percent,Hierarchical_Percent,RFM_Percent,SparkKMeans_Percent
4137,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4138,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4139,0,0,0,4,1,2,6,Ordinary Buyers,26.68,28.35,36.76,36.76,20.99,27.32
4140,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4141,0,0,0,4,1,2,6,Ordinary Buyers,26.68,28.35,36.76,36.76,20.99,27.32
4142,0,0,2,3,1,2,6,Ordinary Buyers,26.68,28.35,22.76,22.76,20.99,27.32
4143,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4144,2,0,0,4,2,3,9,Loyal Customers,36.63,28.35,36.76,36.76,32.84,36.35
4145,0,2,2,3,0,2,4,Ordinary Buyers,26.68,25.12,22.76,22.76,29.3,27.32
4146,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4147,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4148,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4149,2,2,0,4,0,3,5,Ordinary Buyers,36.63,25.12,36.76,36.76,29.3,36.35
4150,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4151,0,0,2,3,0,2,5,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
4152,2,3,1,2,2,3,9,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4153,3,3,3,1,2,1,10,VIP,16.7,24.96,10.6,10.6,32.84,16.24
4154,2,0,0,4,1,3,7,Loyal Customers,36.63,28.35,36.76,36.76,20.99,36.35
4155,3,3,3,1,3,1,11,VIP,16.7,24.96,10.6,10.6,16.88,16.24
4156,3,3,1,2,2,1,9,Loyal Customers,16.7,24.96,29.89,29.89,32.84,16.24
4157,1,2,0,4,0,0,4,Ordinary Buyers,19.98,25.12,36.76,36.76,29.3,20.09
4158,0,0,2,3,1,2,6,Ordinary Buyers,26.68,28.35,22.76,22.76,20.99,27.32
4159,0,1,0,4,1,2,7,Loyal Customers,26.68,21.58,36.76,36.76,20.99,27.32
4160,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4161,0,0,2,3,1,2,6,Ordinary Buyers,26.68,28.35,22.76,22.76,20.99,27.32
4162,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4163,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4164,1,3,0,4,2,0,8,Loyal Customers,19.98,24.96,36.76,36.76,32.84,20.09
4165,3,3,1,2,3,1,11,VIP,16.7,24.96,29.89,29.89,16.88,16.24
4166,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4167,2,0,0,4,0,2,5,Ordinary Buyers,36.63,28.35,36.76,36.76,29.3,27.32
4168,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4169,3,1,1,2,3,1,12,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4170,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4171,0,2,0,4,1,2,6,Ordinary Buyers,26.68,25.12,36.76,36.76,20.99,27.32
4172,2,0,0,4,1,3,7,Loyal Customers,36.63,28.35,36.76,36.76,20.99,36.35
4173,0,2,2,3,0,2,5,Ordinary Buyers,26.68,25.12,22.76,22.76,29.3,27.32
4174,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4175,1,3,0,4,1,0,6,Ordinary Buyers,19.98,24.96,36.76,36.76,20.99,20.09
4176,2,2,0,4,0,3,5,Ordinary Buyers,36.63,25.12,36.76,36.76,29.3,36.35
4177,0,3,0,4,1,2,7,Loyal Customers,26.68,24.96,36.76,36.76,20.99,27.32
4178,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4179,2,3,0,4,1,3,7,Loyal Customers,36.63,24.96,36.76,36.76,20.99,36.35
4180,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4181,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4182,2,3,1,2,3,3,11,VIP,36.63,24.96,29.89,29.89,16.88,36.35
4183,2,3,1,2,1,3,7,Loyal Customers,36.63,24.96,29.89,29.89,20.99,36.35
4184,0,0,0,4,1,2,7,Loyal Customers,26.68,28.35,36.76,36.76,20.99,27.32
4185,1,2,0,4,0,0,4,Ordinary Buyers,19.98,25.12,36.76,36.76,29.3,20.09
4186,0,0,2,3,0,2,5,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
4187,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4188,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4189,0,0,0,4,0,2,5,Ordinary Buyers,26.68,28.35,36.76,36.76,29.3,27.32
4190,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4191,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4192,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4193,2,0,0,4,1,3,7,Loyal Customers,36.63,28.35,36.76,36.76,20.99,36.35
4194,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4195,2,0,1,2,2,3,8,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4196,2,0,0,4,2,2,8,Loyal Customers,36.63,28.35,36.76,36.76,32.84,27.32
4197,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4198,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4199,2,0,1,2,2,3,10,VIP,36.63,28.35,29.89,29.89,32.84,36.35
4200,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4201,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4202,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4204,0,0,0,4,2,2,9,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4205,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4206,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4207,2,3,1,2,2,3,10,VIP,36.63,24.96,29.89,29.89,32.84,36.35
4208,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4209,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4210,0,0,2,3,0,2,5,Ordinary Buyers,26.68,28.35,22.76,22.76,29.3,27.32
4211,2,3,1,2,2,3,8,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4212,0,3,0,4,2,2,8,Loyal Customers,26.68,24.96,36.76,36.76,32.84,27.32
4213,2,3,1,2,2,3,8,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4214,2,0,1,2,2,3,9,Loyal Customers,36.63,28.35,29.89,29.89,32.84,36.35
4215,3,3,1,2,2,1,10,VIP,16.7,24.96,29.89,29.89,32.84,16.24
4216,0,3,0,4,1,2,7,Loyal Customers,26.68,24.96,36.76,36.76,20.99,27.32
4217,3,1,3,1,3,1,11,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4218,3,1,1,2,2,1,10,VIP,16.7,21.58,29.89,29.89,32.84,16.24
4219,0,0,0,4,1,2,7,Loyal Customers,26.68,28.35,36.76,36.76,20.99,27.32
4220,3,1,1,2,3,1,12,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4221,2,3,0,4,1,3,6,Ordinary Buyers,36.63,24.96,36.76,36.76,20.99,36.35
4222,3,1,1,2,3,1,11,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4223,3,1,1,2,3,1,11,VIP,16.7,21.58,29.89,29.89,16.88,16.24
4224,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4225,0,2,2,3,0,2,4,Ordinary Buyers,26.68,25.12,22.76,22.76,29.3,27.32
4226,0,0,0,4,2,2,9,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4227,0,3,0,4,2,2,8,Loyal Customers,26.68,24.96,36.76,36.76,32.84,27.32
4228,2,3,1,2,2,3,8,Loyal Customers,36.63,24.96,29.89,29.89,32.84,36.35
4229,0,0,0,4,1,2,7,Loyal Customers,26.68,28.35,36.76,36.76,20.99,27.32
4230,0,0,0,4,2,2,9,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4231,1,2,2,3,0,0,4,Ordinary Buyers,19.98,25.12,22.76,22.76,29.3,20.09
4232,2,1,1,2,2,3,10,VIP,36.63,21.58,29.89,29.89,32.84,36.35
4233,2,3,0,4,2,3,8,Loyal Customers,36.63,24.96,36.76,36.76,32.84,36.35
4234,3,3,3,1,2,1,10,VIP,16.7,24.96,10.6,10.6,32.84,16.24
4235,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4236,3,1,3,1,3,1,12,VIP,16.7,21.58,10.6,10.6,16.88,16.24
4237,1,2,2,3,0,0,3,Lost Customers,19.98,25.12,22.76,22.76,29.3,20.09
4238,0,0,0,4,2,2,8,Loyal Customers,26.68,28.35,36.76,36.76,32.84,27.32
4239,1,3,2,3,0,0,5,Ordinary Buyers,19.98,24.96,22.76,22.76,29.3,20.09
4240,2,1,1,2,3,3,11,VIP,36.63,21.58,29.89,29.89,16.88,36.35
4241,1,2,0,4,0,0,3,Lost Customers,19.98,25.12,36.76,36.76,29.3,20.09
4242,0,0,0,4,1,2,7,Loyal Customers,26.68,28.35,36.76,36.76,20.99,27.32
